Lon Lat H AAL
-73.225 5.7985 2875 245.5
-73.2083 5.7985 2893 231.9
-73.1917 5.7985 2991 218
-73.175 5.7985 3039 204.9
-73.1584 5.7985 3003 192.9
-73.1417 5.7985 2869 182.4
-73.125 5.7985 2759 173.3
-73.1083 5.7985 2643 165.7
-73.0917 5.7985 2563 159.8
-73.075 5.7985 2509 155.7
-73.0583 5.7985 2583 153.8
-73.0417 5.7985 2531 154.1
-73.025 5.7985 2485 156.8
-73.0084 5.7985 2551 160.9
-72.9917 5.7985 2485 165.7
-72.975 5.7985 2531 169.3
-72.9583 5.7985 2845 170.5
-72.9417 5.7985 3033 168
-72.925 5.7985 2915 161.9
-74.9084 5.7819 857 -8.3
-74.8917 5.7819 909 -3.9
-74.875 5.7819 713 -2.3
-74.8583 5.7819 633 -4.3
-74.8417 5.7819 481 -9.3
-74.825 5.7819 425 -16
-74.8083 5.7819 429 -22.5
-74.7917 5.7819 335 -27.7
-74.775 5.7819 253 -30.9
-74.7584 5.7819 197 -32.7
-74.7417 5.7819 195 -34.2
-74.725 5.7819 189 -36.5
-74.7083 5.7819 169 -40.4
-74.6917 5.7819 169 -46
-74.675 5.7819 175 -52.6
-74.6584 5.7819 153 -59
-74.6417 5.7819 153 -63.8
-74.625 5.7819 181 -66.2
-74.6083 5.7819 191 -66.2
-74.5917 5.7819 185 -64.3
-74.575 5.7819 175 -62.4
-74.5583 5.7819 177 -61.7
-74.5417 5.7819 175 -63.4
-74.525 5.7819 173 -67.9
-74.5084 5.7819 175 -74.5
-74.4917 5.7819 183 -81.8
-74.475 5.7819 199 -88
-74.4583 5.7819 197 -91.4
-74.4417 5.7819 253 -91.1
-74.425 5.7819 237 -86.7
-74.4084 5.7819 215 -79.1
-74.3917 5.7819 223 -69.1
-74.375 5.7819 309 -58.5
-74.3583 5.7819 471 -48
-74.3417 5.7819 759 -38.7
-74.325 5.7819 573 -30.8
-74.3083 5.7819 491 -24.4
-74.2917 5.7819 837 -19.7
-74.275 5.7819 887 -17
-74.2584 5.7819 1013 -16.6
-74.2417 5.7819 959 -19.1
-74.225 5.7819 797 -24.7
-74.2083 5.7819 765 -33.2
-74.1917 5.7819 633 -43.6
-74.175 5.7819 855 -54.1
-74.1584 5.7819 695 -62.9
-74.1417 5.7819 611 -67.8
-74.125 5.7819 881 -67.6
-74.1083 5.7819 713 -62.3
-74.0917 5.7819 463 -52.7
-74.075 5.7819 865 -41.1
-74.0583 5.7819 1333 -29.5
-74.0417 5.7819 1417 -20.3
-74.025 5.7819 1423 -14.6
-74.0084 5.7819 1631 -11.9
-73.9917 5.7819 1495 -10.9
-73.975 5.7819 1359 -8.6
-73.9583 5.7819 1361 -2.5
-73.9417 5.7819 1771 9.9
-73.925 5.7819 1843 29.4
-73.9084 5.7819 2005 54.9
-73.8917 5.7819 2245 84.5
-73.875 5.7819 2441 114.2
-73.8583 5.7819 2443 141
-73.8417 5.7819 2499 161.3
-73.825 5.7819 2275 174.2
-73.8083 5.7819 2307 179.7
-73.7917 5.7819 2411 179.5
-73.775 5.7819 2513 176.7
-73.7584 5.7819 2717 173.8
-73.7417 5.7819 2647 173.4
-73.725 5.7819 2477 176.4
-73.7083 5.7819 2397 182.4
-73.6917 5.7819 2419 189.9
